"Plugin Name","Severity","IP Address","Protocol","Port","Exploit?","Plugin Output","Synopsis","Description","Steps to Remediate","See Also","Vulnerability Priority Rating","Exploit Prediction Scoring System (EPSS)","CVSS V3 Base Score","Exploit Ease","Exploit Frameworks","Version","Scan Accuracy"
"RHEL 9 : krb5 (RHSA-2024:6166)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
Remote package installed : krb5-libs-1.21.1-1.el9
Should be                : krb5-libs-1.21.1-2.el9_4

Remote package installed : krb5-libs-1.21.1-1.el9
Should be                : krb5-libs-1.21.1-2.el9_4

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing one or more security updates for krb5.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:6166 advisory.

    Kerberos is a network authentication system, which can improve the security of your network by eliminating     the insecure practice of sending passwords over the network in unencrypted form. It allows clients and     servers to authenticate to each other with the help of a trusted third party, the Kerberos key     distribution center (KDC).

    Security Fix(es):

    * krb5: GSS message token handling (CVE-2024-37371)

    * krb5: GSS message token handling (CVE-2024-37370)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.","Update the RHEL krb5 package based on the guidance in RHSA-2024:6166.","https://access.redhat.com/security/updates/classification/#moderate
https://bugzilla.redhat.com/show_bug.cgi?id=2294676
https://bugzilla.redhat.com/show_bug.cgi?id=2294677
http://www.nessus.org/u?a4320d99
https://access.redhat.com/errata/RHSA-2024:6166","6.0","0.48","9.1","No known exploits are available","","1.3","N/A"
"RHEL 9 : wget (RHSA-2024:6192)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
Remote package installed : wget-1.21.1-7.el9
Should be                : wget-1.21.1-8.el9_4

Remote package installed : wget-1.21.1-7.el9
Should be                : wget-1.21.1-8.el9_4

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing a security update for wget.","The remote Redhat Enterprise Linux 9 host has a package installed that is affected by a vulnerability as referenced in the RHSA-2024:6192 advisory.

    The wget packages provide the GNU Wget file retrieval utility for HTTP, HTTPS, and FTP protocols.

    Security Fix(es):

    * wget: Misinterpretation of input may lead to improper behavior (CVE-2024-38428)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Update the RHEL wget package based on the guidance in RHSA-2024:6192.","https://access.redhat.com/security/updates/classification/#moderate
https://bugzilla.redhat.com/show_bug.cgi?id=2292836
http://www.nessus.org/u?aa5393f3
https://access.redhat.com/errata/RHSA-2024:6192","5.2","0.2","9.1","No known exploits are available","","1.4","N/A"
"RHEL 9 : emacs (RHSA-2024:6510)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
Remote package installed : emacs-filesystem-27.2-9.el9
Should be                : emacs-filesystem-27.2-10.el9_4

Remote package installed : emacs-filesystem-27.2-9.el9
Should be                : emacs-filesystem-27.2-10.el9_4

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing a security update for emacs.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2024:6510 advisory.

    GNU Emacs is a powerful, customizable, self-documenting text editor. It provides special code editing     features, a scripting language (elisp), and the capability to read e-mail and news.

    Security Fix(es):

    * emacs: org-link-expand-abbrev: Do not evaluate arbitrary unsafe Elisp code (CVE-2024-39331)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Update the RHEL emacs package based on the guidance in RHSA-2024:6510.","http://www.nessus.org/u?48dd5154
https://access.redhat.com/security/updates/classification/#moderate
https://bugzilla.redhat.com/show_bug.cgi?id=2293942
https://access.redhat.com/errata/RHSA-2024:6510","5.9","1.37","9.8","No known exploits are available","","1.2","N/A"
"RHEL 9 : expat (RHSA-2024:6754)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
Remote package installed : expat-2.5.0-2.el9_4
Should be                : expat-2.5.0-2.el9_4.1

Remote package installed : expat-2.5.0-2.el9_4
Should be                : expat-2.5.0-2.el9_4.1

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing one or more security updates for expat.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:6754 advisory.

    Expat is a C library for parsing XML documents.

    Security Fix(es):

    * libexpat: Negative Length Parsing Vulnerability in libexpat (CVE-2024-45490)

    * libexpat: Integer Overflow or Wraparound (CVE-2024-45491)

    * libexpat: integer overflow (CVE-2024-45492)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.","Update the RHEL expat package based on the guidance in RHSA-2024:6754.","http://www.nessus.org/u?11926828
https://access.redhat.com/security/updates/classification/#moderate
https://bugzilla.redhat.com/show_bug.cgi?id=2308615
https://bugzilla.redhat.com/show_bug.cgi?id=2308616
https://bugzilla.redhat.com/show_bug.cgi?id=2308617
https://access.redhat.com/errata/RHSA-2024:6754","6.7","0.17","9.8","No known exploits are available","","1.4","N/A"
"RHEL 9 : webkit2gtk3 (RHSA-2024:8180)","Critical","10.124.49.10","TCP","0","Yes","Plugin Output: 
Remote package installed : webkit2gtk3-jsc-2.42.5-1.el9
Should be                : webkit2gtk3-jsc-2.46.1-2.el9_4

Remote package installed : webkit2gtk3-jsc-2.42.5-1.el9
Should be                : webkit2gtk3-jsc-2.46.1-2.el9_4

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing one or more security updates for webkit2gtk3.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:8180 advisory.

    WebKitGTK is the port of the portable web rendering engine WebKit to the GTK platform.

    Security Fix(es):

    * webkit: malicious website may exfiltrate audio data cross-origin (CVE-2024-23254)

    * webkit: processing malicious web content prevents Content Security Policy from being enforced     (CVE-2024-23263)

    * webkit: maliciously crafted webpage may be able to fingerprint the user (CVE-2024-23280)

    * webkit: processing maliciously crafted web content prevents Content Security Policy from being enforced     (CVE-2024-23284)

    * chromium-browser: Use after free in ANGLE (CVE-2024-4558)

    * webkitgtk: webkit2gtk: Use after free may lead to Remote Code Execution (CVE-2024-40776)

    * webkitgtk: webkit2gtk: Processing maliciously crafted web content may lead to an unexpected process     crash (CVE-2024-40789)

    * webkitgtk: webkit2gtk: Out-of-bounds read was addressed with improved bounds checking (CVE-2024-40780)

    * webkitgtk: webkit2gtk: Out-of-bounds read was addressed with improved bounds checking (CVE-2024-40779)

    * webkitgtk: webkit2gtk: Use-after-free was addressed with improved memory management (CVE-2024-40782)

    * webkitgtk: Visiting a malicious website may lead to address bar spoofing (CVE-2024-40866)

    * webkitgtk: Processing web content may lead to arbitrary code execution (CVE-2024-27820)

    * webkitgtk: A maliciously crafted webpage may be able to fingerprint the user (CVE-2024-27838)

    * webkitgtk: Processing maliciously crafted web content may lead to arbitrary code execution     (CVE-2024-27851)

    * webkitgtk: A malicious website may exfiltrate data cross-origin (CVE-2024-44187)

    * webkitgtk: webkit2gtk: Processing maliciously crafted web content may lead to an unexpected process     crash (CVE-2024-44185)

    * webkit: Processing maliciously crafted web content may lead to memory corruption (CVE-2024-54534)

    * webkitgtk: Processing a file may lead to unexpected app termination or arbitrary code execution     (CVE-2024-27856)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.","Update the RHEL webkit2gtk3 package based on the guidance in RHSA-2024:8180.","https://access.redhat.com/security/updates/classification/#important
https://bugzilla.redhat.com/show_bug.cgi?id=2270289
https://bugzilla.redhat.com/show_bug.cgi?id=2270290
https://bugzilla.redhat.com/show_bug.cgi?id=2270291
https://bugzilla.redhat.com/show_bug.cgi?id=2270292
https://bugzilla.redhat.com/show_bug.cgi?id=2279689
https://bugzilla.redhat.com/show_bug.cgi?id=2301841
https://bugzilla.redhat.com/show_bug.cgi?id=2302067
https://bugzilla.redhat.com/show_bug.cgi?id=2302069
https://bugzilla.redhat.com/show_bug.cgi?id=2302070
https://bugzilla.redhat.com/show_bug.cgi?id=2302071
https://bugzilla.redhat.com/show_bug.cgi?id=2312724
https://bugzilla.redhat.com/show_bug.cgi?id=2314698
https://bugzilla.redhat.com/show_bug.cgi?id=2314702
https://bugzilla.redhat.com/show_bug.cgi?id=2314704
https://bugzilla.redhat.com/show_bug.cgi?id=2314706
https://bugzilla.redhat.com/show_bug.cgi?id=2323263
https://bugzilla.redhat.com/show_bug.cgi?id=2333846
https://bugzilla.redhat.com/show_bug.cgi?id=2344618
http://www.nessus.org/u?19be4377
https://access.redhat.com/errata/RHSA-2024:8180","7.3","2.78","9.8","Exploits are available","","1.4","N/A"
"RHEL 9 : openssl and openssl-fips-provider (RHSA-2024:9333)","Critical","10.124.49.10","TCP","0","Yes","Plugin Output: 
Remote package installed : openssl-3.0.7-27.el9
Should be                : openssl-3.2.2-6.el9_5

Remote package installed : openssl-libs-3.0.7-27.el9
Should be                : openssl-libs-3.2.2-6.el9_5

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing one or more security updates for openssl / openssl-fips-provider.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:9333 advisory.

    OpenSSL is a toolkit that implements the Secure Sockets Layer (SSL) and Transport Layer Security (TLS)     protocols, as well as a full-strength general-purpose cryptography library.

    Security Fix(es):

    * openssl: Unbounded memory growth with session handling in TLSv1.3 (CVE-2024-2511)

    * openssl: Excessive time spent checking DSA keys and parameters (CVE-2024-4603)

    * openssl: Use After Free with SSL_free_buffers (CVE-2024-4741)

    * openssl: SSL_select_next_proto buffer overread (CVE-2024-5535)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

    Additional Changes:

    For detailed information on changes in this release, see the Red Hat Enterprise Linux 9.5 Release Notes     linked from the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.","Update the RHEL openssl / openssl-fips-provider packages based on the guidance in RHSA-2024:9333.","http://www.nessus.org/u?bb08292d
https://access.redhat.com/security/updates/classification/#low
https://bugzilla.redhat.com/show_bug.cgi?id=2274020
https://bugzilla.redhat.com/show_bug.cgi?id=2281029
https://bugzilla.redhat.com/show_bug.cgi?id=2283757
https://bugzilla.redhat.com/show_bug.cgi?id=2294581
https://issues.redhat.com/browse/RHEL-26271
https://issues.redhat.com/browse/RHEL-32123
https://issues.redhat.com/browse/RHEL-38514
https://issues.redhat.com/browse/RHEL-40723
https://issues.redhat.com/browse/RHEL-58662
http://www.nessus.org/u?091d3027
https://access.redhat.com/errata/RHSA-2024:9333","6.0","4.62","9.1","Exploits are available","","1.3","N/A"
"RHEL 9 : webkit2gtk3 (RHSA-2024:9144)","Critical","10.124.49.10","TCP","0","Yes","Plugin Output: 
Remote package installed : webkit2gtk3-jsc-2.42.5-1.el9
Should be                : webkit2gtk3-jsc-2.44.3-2.el9

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing one or more security updates for webkit2gtk3.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by multiple vulnerabilities as referenced in the RHSA-2024:9144 advisory.

    WebKitGTK is the port of the portable web rendering engine WebKit to the GTK platform.

    Security Fix(es):

    * webkit: visiting a malicious website may lead to address bar spoofing (CVE-2023-42843)

    * webkit: heap use-after-free may lead to arbitrary code execution (CVE-2023-42950)

    * webkit: processing malicious web content may lead to a denial of service (CVE-2023-42956)

    * chromium-browser: Use after free in ANGLE (CVE-2024-4558)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

    Additional Changes:

    For detailed information on changes in this release, see the Red Hat Enterprise Linux 9.5 Release Notes     linked from the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.","Update the RHEL webkit2gtk3 package based on the guidance in RHSA-2024:9144.","http://www.nessus.org/u?bb08292d
https://access.redhat.com/security/updates/classification/#important
https://bugzilla.redhat.com/show_bug.cgi?id=2271717
https://bugzilla.redhat.com/show_bug.cgi?id=2271718
https://bugzilla.redhat.com/show_bug.cgi?id=2271719
https://bugzilla.redhat.com/show_bug.cgi?id=2279689
https://issues.redhat.com/browse/RHEL-32578
http://www.nessus.org/u?9c4d4fb8
https://access.redhat.com/errata/RHSA-2024:9144","7.3","1.6","9.6","Exploits are available","","1.4","N/A"
"RHEL 9 : krb5 (RHSA-2024:9474)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
Remote package installed : krb5-libs-1.21.1-1.el9
Should be                : krb5-libs-1.21.1-4.el9_5

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing a security update for krb5.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2024:9474 advisory.

    Kerberos is a network authentication system, which can improve the security of your network by eliminating     the insecure practice of sending passwords over the network in unencrypted form. It allows clients and     servers to authenticate to each other with the help of a trusted third party, the Kerberos key     distribution center (KDC).

    Security Fix(es):

    * freeradius: forgery attack (CVE-2024-3596)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Update the RHEL krb5 package based on the guidance in RHSA-2024:9474.","https://access.redhat.com/security/updates/classification/#important
https://bugzilla.redhat.com/show_bug.cgi?id=2263240
http://www.nessus.org/u?1389d31d
https://access.redhat.com/errata/RHSA-2024:9474","7.3","22.41","9.0","No known exploits are available","","1.2","N/A"
"RHEL 9 : krb5 (RHSA-2024:9547)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
NOTE: This vulnerability check contains fixes that apply to
packages only available in the Red Hat Enterprise Linux
Extended Update Support repository.
Access to this repository requires a paid RHEL subscription.

Remote package installed : krb5-libs-1.21.1-1.el9
Should be                : krb5-libs-1.21.1-2.el9_4.1

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing a security update for krb5.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2024:9547 advisory.

    Kerberos is a network authentication system, which can improve the security of your network by eliminating     the insecure practice of sending passwords over the network in unencrypted form. It allows clients and     servers to authenticate to each other with the help of a trusted third party, the Kerberos key     distribution center (KDC).

    Security Fix(es):

    * freeradius: forgery attack (CVE-2024-3596)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Update the RHEL krb5 package based on the guidance in RHSA-2024:9547.","https://access.redhat.com/security/updates/classification/#important
https://bugzilla.redhat.com/show_bug.cgi?id=2263240
http://www.nessus.org/u?2f77c038
https://access.redhat.com/errata/RHSA-2024:9547","7.3","22.41","9.0","No known exploits are available","","1.2","N/A"
"RHEL 9 : bzip2 (RHSA-2024:10803)","Critical","10.124.49.10","TCP","0","No","Plugin Output: 
NOTE: This vulnerability check contains fixes that apply to
packages only available in the Red Hat Enterprise Linux
Extended Update Support repository.
Access to this repository requires a paid RHEL subscription.

Remote package installed : bzip2-1.0.8-8.el9
Should be                : bzip2-1.0.8-8.el9_4.1

Remote package installed : bzip2-libs-1.0.8-8.el9
Should be                : bzip2-libs-1.0.8-8.el9_4.1

NOTE: The vulnerability information above was derived by checking the
package versions of the affected packages from this advisory. This
scan would normally rely on checking for the presence of specific
installed and enabled Red Hat repositories, but either no repositories
were found in the repository directory, the repository files were empty
or missing, or the scan account lacked permissions to access them.
Please ensure that the repository files are populated and the scanning
account has permissions to examine the files in /etc/yum.repos.d/.","The remote Red Hat host is missing a security update for bzip2.","The remote Redhat Enterprise Linux 9 host has packages installed that are affected by a vulnerability as referenced in the RHSA-2024:10803 advisory.

    The bzip2 packages contain a freely available, high-quality data compressor. It provides both standalone     compression and decompression utilities, as well as a shared library for use with other programs.

    Security Fix(es):

    * bzip2: out-of-bounds write in function BZ2_decompress (CVE-2019-12900)

    For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and     other related information, refer to the CVE page(s) listed in the References section.

Tenable has extracted the preceding description block directly from the Red Hat Enterprise Linux security advisory.

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.","Update the RHEL bzip2 package based on the guidance in RHSA-2024:10803.","https://access.redhat.com/security/updates/classification/#low
https://bugzilla.redhat.com/show_bug.cgi?id=1724459
http://www.nessus.org/u?18113d3b
https://access.redhat.com/errata/RHSA-2024:10803","6.7","1.25","9.8","No known exploits are available","","1.2","N/A"
